pair,cond,fr,opening,interact,active_ses_time,familiarity,ref
4,30sec,5,8,4,1004,1,FR5
4,30sec,10,7,6,1327,1,FR10
4,30sec,20,7,7,1422,1,FR20
4,30sec,40,2,2,1713,1,FR40
4,30sec,80,0,0,1800,1,FR80
4,30sec,1,20,18,1067,0,30secBase
4,30sec,1,14,14,1290,0,30secBase
4,30sec,1,14,11,1234,0,30secBase
4,30sec,1,11,9,1242,0,30secBase
4,30sec,2,12,8,1054,0,FR2
4,30sec,5,16,14,1036,0,FR5
4,30sec,10,6,5,1591,0,FR10
4,30sec,20,2,2,1733,0,FR20
4,30sec,40,0,0,1800,0,FR40
4,10sec,1,21,19,1284,0,10secBase
4,10sec,1,35,33,1159,0,10secBase
4,10sec,1,32,32,1207,0,10secBase
4,10sec,1,23,21,1311,0,10secBase
4,10sec,2,18,18,1540,0,FR2
4,10sec,5,20,20,1525,0,FR5
4,10sec,10,14,12,1165,0,FR10
4,10sec,20,6,6,1703,0,FR20
4,10sec,40,4,4,1747,0,FR40
4,10sec,80,0,0,1800,0,FR80
4,60sec,1,11,10,922,0,60secBase
4,60sec,1,12,11,1063,0,60secBase
4,60sec,1,12,8,712,0,60secBase
4,60sec,2,11,10,1038,0,FR2
4,60sec,5,12,12,1032,0,FR5
4,60sec,10,8,8,1276,0,FR10
4,60sec,20,3,3,1612,0,FR20
4,60sec,40,0,0,1800,0,FR40
